title,category,skills,level,description
Principal Product Owner,Product & Management,Stakeholder Management; Communication; Scrum; User Stories; Roadmapping; Jira; Backlog Management,Principal,"Full-time · Remote. We are hiring a Principal Product Owner for our SaaS team. The ideal candidate has 12-20 years of experience and is proficient in Stakeholder Management, Communication, Scrum, User Stories, Roadmapping, Jira, Backlog Management. This is a remote full-time position focused on delivering high-quality product & management work."
Lead Project Manager,Product & Management,Agile; Risk Management; Communication; Budgeting; Scrum,Lead,"Internship · Hybrid. We are hiring a Lead Project Manager for our E-commerce team. The ideal candidate has 8-14 years of experience and is proficient in Agile, Risk Management, Communication, Budgeting, Scrum. This is a hybrid internship position focused on delivering high-quality product & management work."
Intern Product Manager,Product & Management,Roadmapping; Prioritization; Jira; Communication; Analytics; Agile,Intern,"Internship · On-site. We are hiring a Intern Product Manager for our Startup team. The ideal candidate has 0-1 years of experience and is proficient in Roadmapping, Prioritization, Jira, Communication, Analytics, Agile. This is a on-site internship position focused on delivering high-quality product & management work."
Senior Project Manager,Product & Management,Jira; Scrum; Planning; Agile; Leadership; Stakeholder Management,Senior,"Internship · On-site. We are hiring a Senior Project Manager for our E-commerce team. The ideal candidate has 6-10 years of experience and is proficient in Jira, Scrum, Planning, Agile, Leadership, Stakeholder Management. This is a on-site internship position focused on delivering high-quality product & management work."
Junior Program Manager,Product & Management,Program Management; Leadership; Reporting; Roadmapping; Strategy; Communication,Junior,"Internship · Hybrid. We are hiring a Junior Program Manager for our EdTech team. The ideal candidate has 1-3 years of experience and is proficient in Program Management, Leadership, Reporting, Roadmapping, Strategy, Communication. This is a hybrid internship position focused on delivering high-quality product & management work."
Junior Project Manager,Product & Management,Budgeting; Planning; Stakeholder Management; Risk Management; Leadership,Junior,"Internship · Remote. We are hiring a Junior Project Manager for our Healthcare team. The ideal candidate has 1-3 years of experience and is proficient in Budgeting, Planning, Stakeholder Management, Risk Management, Leadership. This is a remote internship position focused on delivering high-quality product & management work."
Intern Project Manager,Product & Management,Leadership; Agile; Jira; Stakeholder Management; Budgeting; Communication,Intern,"Contract · On-site. We are hiring a Intern Project Manager for our Enterprise team. The ideal candidate has 0-1 years of experience and is proficient in Leadership, Agile, Jira, Stakeholder Management, Budgeting, Communication. This is a on-site contract position focused on delivering high-quality product & management work."
Lead Product Manager,Product & Management,Analytics; Strategy; Market Research; Stakeholder Management; Roadmapping; Agile,Lead,"Full-time · On-site. We are hiring a Lead Product Manager for our Gaming team. The ideal candidate has 8-14 years of experience and is proficient in Analytics, Strategy, Market Research, Stakeholder Management, Roadmapping, Agile. This is a on-site full-time position focused on delivering high-quality product & management work."
Intern Scrum Master,Product & Management,Scrum; Jira; Retrospectives; Coaching; Facilitation; Agile,Intern,"Full-time · On-site. We are hiring a Intern Scrum Master for our Healthcare team. The ideal candidate has 0-1 years of experience and is proficient in Scrum, Jira, Retrospectives, Coaching, Facilitation, Agile. This is a on-site full-time position focused on delivering high-quality product & management work."
Junior Program Manager,Product & Management,Strategy; Communication; Budgeting; Roadmapping; Leadership,Junior,"Internship · On-site. We are hiring a Junior Program Manager for our Gaming team. The ideal candidate has 1-3 years of experience and is proficient in Strategy, Communication, Budgeting, Roadmapping, Leadership. This is a on-site internship position focused on delivering high-quality product & management work."
Principal Program Manager,Product & Management,Strategy; Risk Management; Leadership; Program Management; Stakeholder Management,Principal,"Contract · Remote. We are hiring a Principal Program Manager for our EdTech team. The ideal candidate has 12-20 years of experience and is proficient in Strategy, Risk Management, Leadership, Program Management, Stakeholder Management. This is a remote contract position focused on delivering high-quality product & management work."
Senior Program Manager,Product & Management,Strategy; Program Management; Roadmapping; Leadership; Stakeholder Management; Communication; Budgeting,Senior,"Full-time · On-site. We are hiring a Senior Program Manager for our Startup team. The ideal candidate has 6-10 years of experience and is proficient in Strategy, Program Management, Roadmapping, Leadership, Stakeholder Management, Communication, Budgeting. This is a on-site full-time position focused on delivering high-quality product & management work."
Junior Program Manager,Product & Management,Budgeting; Risk Management; Leadership; Communication; Program Management,Junior,"Internship · Hybrid. We are hiring a Junior Program Manager for our Fintech team. The ideal candidate has 1-3 years of experience and is proficient in Budgeting, Risk Management, Leadership, Communication, Program Management. This is a hybrid internship position focused on delivering high-quality product & management work."
Intern Program Manager,Product & Management,Leadership; Stakeholder Management; Roadmapping; Communication; Program Management; Agile,Intern,"Full-time · Remote. We are hiring a Intern Program Manager for our Enterprise team. The ideal candidate has 0-1 years of experience and is proficient in Leadership, Stakeholder Management, Roadmapping, Communication, Program Management, Agile. This is a remote full-time position focused on delivering high-quality product & management work."
Lead Scrum Master,Product & Management,Coaching; Facilitation; Servant Leadership; Retrospectives; Communication; Agile,Lead,"Contract · On-site. We are hiring a Lead Scrum Master for our SaaS team. The ideal candidate has 8-14 years of experience and is proficient in Coaching, Facilitation, Servant Leadership, Retrospectives, Communication, Agile. This is a on-site contract position focused on delivering high-quality product & management work."
Mid-level Scrum Master,Product & Management,Coaching; Facilitation; Servant Leadership; Kanban; Communication; Scrum; Sprint Planning,Mid-level,"Contract · On-site. We are hiring a Mid-level Scrum Master for our SaaS team. The ideal candidate has 3-6 years of experience and is proficient in Coaching, Facilitation, Servant Leadership, Kanban, Communication, Scrum, Sprint Planning. This is a on-site contract position focused on delivering high-quality product & management work."
Mid-level Program Manager,Product & Management,Stakeholder Management; Agile; Reporting; Budgeting; Strategy; Leadership,Mid-level,"Full-time · Remote. We are hiring a Mid-level Program Manager for our EdTech team. The ideal candidate has 3-6 years of experience and is proficient in Stakeholder Management, Agile, Reporting, Budgeting, Strategy, Leadership. This is a remote full-time position focused on delivering high-quality product & management work."
Intern Scrum Master,Product & Management,Agile; Retrospectives; Servant Leadership; Jira; Kanban,Intern,"Contract · Hybrid. We are hiring a Intern Scrum Master for our Startup team. The ideal candidate has 0-1 years of experience and is proficient in Agile, Retrospectives, Servant Leadership, Jira, Kanban. This is a hybrid contract position focused on delivering high-quality product & management work."
Intern Product Manager,Product & Management,Roadmapping; User Stories; Jira; Analytics; Market Research; Stakeholder Management; Prioritization,Intern,"Full-time · Remote. We are hiring a Intern Product Manager for our E-commerce team. The ideal candidate has 0-1 years of experience and is proficient in Roadmapping, User Stories, Jira, Analytics, Market Research, Stakeholder Management, Prioritization. This is a remote full-time position focused on delivering high-quality product & management work."
Senior Scrum Master,Product & Management,Scrum; Facilitation; Coaching; Sprint Planning; Retrospectives; Communication; Servant Leadership,Senior,"Internship · On-site. We are hiring a Senior Scrum Master for our Gaming team. The ideal candidate has 6-10 years of experience and is proficient in Scrum, Facilitation, Coaching, Sprint Planning, Retrospectives, Communication, Servant Leadership. This is a on-site internship position focused on delivering high-quality product & management work."
Junior Project Manager,Product & Management,Scrum; Planning; Leadership; Risk Management; Gantt Charts; Agile; Jira,Junior,"Internship · Hybrid. We are hiring a Junior Project Manager for our Startup team. The ideal candidate has 1-3 years of experience and is proficient in Scrum, Planning, Leadership, Risk Management, Gantt Charts, Agile, Jira. This is a hybrid internship position focused on delivering high-quality product & management work."
Senior Scrum Master,Product & Management,Scrum; Retrospectives; Sprint Planning; Kanban; Jira; Communication; Agile,Senior,"Full-time · On-site. We are hiring a Senior Scrum Master for our Gaming team. The ideal candidate has 6-10 years of experience and is proficient in Scrum, Retrospectives, Sprint Planning, Kanban, Jira, Communication, Agile. This is a on-site full-time position focused on delivering high-quality product & management work."
Principal Product Manager,Product & Management,Market Research; Roadmapping; Analytics; Prioritization; Agile; Jira; Strategy,Principal,"Contract · On-site. We are hiring a Principal Product Manager for our Healthcare team. The ideal candidate has 12-20 years of experience and is proficient in Market Research, Roadmapping, Analytics, Prioritization, Agile, Jira, Strategy. This is a on-site contract position focused on delivering high-quality product & management work."
Senior Program Manager,Product & Management,Stakeholder Management; Strategy; Risk Management; Roadmapping; Leadership; Budgeting; Program Management,Senior,"Full-time · On-site. We are hiring a Senior Program Manager for our SaaS team. The ideal candidate has 6-10 years of experience and is proficient in Stakeholder Management, Strategy, Risk Management, Roadmapping, Leadership, Budgeting, Program Management. This is a on-site full-time position focused on delivering high-quality product & management work."
Principal Product Manager,Product & Management,Jira; Market Research; Stakeholder Management; Roadmapping; Prioritization,Principal,"Internship · Remote. We are hiring a Principal Product Manager for our Healthcare team. The ideal candidate has 12-20 years of experience and is proficient in Jira, Market Research, Stakeholder Management, Roadmapping, Prioritization. This is a remote internship position focused on delivering high-quality product & management work."
Mid-level Product Manager,Product & Management,Stakeholder Management; Jira; Agile; Strategy; Analytics,Mid-level,"Internship · Remote. We are hiring a Mid-level Product Manager for our Healthcare team. The ideal candidate has 3-6 years of experience and is proficient in Stakeholder Management, Jira, Agile, Strategy, Analytics. This is a remote internship position focused on delivering high-quality product & management work."
Junior Project Manager,Product & Management,Agile; Communication; Budgeting; Leadership; Risk Management; Scrum,Junior,"Contract · On-site. We are hiring a Junior Project Manager for our Startup team. The ideal candidate has 1-3 years of experience and is proficient in Agile, Communication, Budgeting, Leadership, Risk Management, Scrum. This is a on-site contract position focused on delivering high-quality product & management work."
Principal Product Owner,Product & Management,Jira; Stakeholder Management; Communication; Scrum; Analytics,Principal,"Internship · Remote. We are hiring a Principal Product Owner for our E-commerce team. The ideal candidate has 12-20 years of experience and is proficient in Jira, Stakeholder Management, Communication, Scrum, Analytics. This is a remote internship position focused on delivering high-quality product & management work."
Mid-level Scrum Master,Product & Management,Facilitation; Communication; Coaching; Kanban; Sprint Planning; Agile,Mid-level,"Contract · Remote. We are hiring a Mid-level Scrum Master for our Gaming team. The ideal candidate has 3-6 years of experience and is proficient in Facilitation, Communication, Coaching, Kanban, Sprint Planning, Agile. This is a remote contract position focused on delivering high-quality product & management work."
