title,category,skills,level,description
Junior Data Analyst,Data & AI,Pandas; Power BI; Reporting; A/B Testing; Statistics; Tableau; Data Cleaning,Junior,"Contract · Remote. We are hiring a Junior Data Analyst for our EdTech team. The ideal candidate has 1-3 years of experience and is proficient in Pandas, Power BI, Reporting, A/B Testing, Statistics, Tableau, Data Cleaning. This is a remote contract position focused on delivering high-quality data & ai work."
Intern Data Engineer,Data & AI,Hadoop; AWS; Airflow; Kafka; Spark; Python,Intern,"Full-time · Hybrid. We are hiring a Intern Data Engineer for our EdTech team. The ideal candidate has 0-1 years of experience and is proficient in Hadoop, AWS, Airflow, Kafka, Spark, Python. This is a hybrid full-time position focused on delivering high-quality data & ai work."
Senior Data Analyst,Data & AI,Python; Data Cleaning; Statistics; Excel; SQL,Senior,"Contract · Hybrid. We are hiring a Senior Data Analyst for our EdTech team. The ideal candidate has 6-10 years of experience and is proficient in Python, Data Cleaning, Statistics, Excel, SQL. This is a hybrid contract position focused on delivering high-quality data & ai work."
Principal Data Engineer,Data & AI,ETL; AWS; Data Modeling; Python; Spark; Kafka,Principal,"Full-time · Remote. We are hiring a Principal Data Engineer for our SaaS team. The ideal candidate has 12-20 years of experience and is proficient in ETL, AWS, Data Modeling, Python, Spark, Kafka. This is a remote full-time position focused on delivering high-quality data & ai work."
Intern Data Analyst,Data & AI,Python; A/B Testing; Power BI; SQL; Data Cleaning; Pandas; Reporting,Intern,"Full-time · Hybrid. We are hiring a Intern Data Analyst for our Enterprise team. The ideal candidate has 0-1 years of experience and is proficient in Python, A/B Testing, Power BI, SQL, Data Cleaning, Pandas, Reporting. This is a hybrid full-time position focused on delivering high-quality data & ai work."
Lead Machine Learning Engineer,Data & AI,MLOps; Model Deployment; PyTorch; Scikit-learn; SQL; TensorFlow,Lead,"Internship · Remote. We are hiring a Lead Machine Learning Engineer for our SaaS team. The ideal candidate has 8-14 years of experience and is proficient in MLOps, Model Deployment, PyTorch, Scikit-learn, SQL, TensorFlow. This is a remote internship position focused on delivering high-quality data & ai work."
Senior Machine Learning Engineer,Data & AI,Model Deployment; Scikit-learn; Deep Learning; PyTorch; Python,Senior,"Internship · Remote. We are hiring a Senior Machine Learning Engineer for our Startup team. The ideal candidate has 6-10 years of experience and is proficient in Model Deployment, Scikit-learn, Deep Learning, PyTorch, Python. This is a remote internship position focused on delivering high-quality data & ai work."
Mid-level NLP Engineer,Data & AI,Machine Learning; Python; Deep Learning; Transformers; NLP; spaCy,Mid-level,"Full-time · On-site. We are hiring a Mid-level NLP Engineer for our Fintech team. The ideal candidate has 3-6 years of experience and is proficient in Machine Learning, Python, Deep Learning, Transformers, NLP, spaCy. This is a on-site full-time position focused on delivering high-quality data & ai work."
Lead Computer Vision Engineer,Data & AI,C++; CUDA; TensorFlow; OpenCV; Deep Learning; CNN,Lead,"Full-time · On-site. We are hiring a Lead Computer Vision Engineer for our E-commerce team. The ideal candidate has 8-14 years of experience and is proficient in C++, CUDA, TensorFlow, OpenCV, Deep Learning, CNN. This is a on-site full-time position focused on delivering high-quality data & ai work."
Junior Data Engineer,Data & AI,Python; Hadoop; SQL; ETL; Spark,Junior,"Internship · Remote. We are hiring a Junior Data Engineer for our Enterprise team. The ideal candidate has 1-3 years of experience and is proficient in Python, Hadoop, SQL, ETL, Spark. This is a remote internship position focused on delivering high-quality data & ai work."
Mid-level AI Researcher,Data & AI,Machine Learning; Research; TensorFlow; Reinforcement Learning; Publications,Mid-level,"Contract · On-site. We are hiring a Mid-level AI Researcher for our Enterprise team. The ideal candidate has 3-6 years of experience and is proficient in Machine Learning, Research, TensorFlow, Reinforcement Learning, Publications. This is a on-site contract position focused on delivering high-quality data & ai work."
Intern Computer Vision Engineer,Data & AI,Deep Learning; Python; PyTorch; Image Processing; Machine Learning,Intern,"Full-time · On-site. We are hiring a Intern Computer Vision Engineer for our SaaS team. The ideal candidate has 0-1 years of experience and is proficient in Deep Learning, Python, PyTorch, Image Processing, Machine Learning. This is a on-site full-time position focused on delivering high-quality data & ai work."
Lead Machine Learning Engineer,Data & AI,TensorFlow; PyTorch; MLOps; Machine Learning; Scikit-learn; Deep Learning; SQL,Lead,"Full-time · On-site. We are hiring a Lead Machine Learning Engineer for our Fintech team. The ideal candidate has 8-14 years of experience and is proficient in TensorFlow, PyTorch, MLOps, Machine Learning, Scikit-learn, Deep Learning, SQL. This is a on-site full-time position focused on delivering high-quality data & ai work."
Mid-level Data Scientist,Data & AI,Pandas; Statistics; Data Visualization; NumPy; TensorFlow; SQL; Machine Learning,Mid-level,"Contract · On-site. We are hiring a Mid-level Data Scientist for our Healthcare team. The ideal candidate has 3-6 years of experience and is proficient in Pandas, Statistics, Data Visualization, NumPy, TensorFlow, SQL, Machine Learning. This is a on-site contract position focused on delivering high-quality data & ai work."
Junior Computer Vision Engineer,Data & AI,C++; CUDA; Deep Learning; Python; CNN,Junior,"Internship · Remote. We are hiring a Junior Computer Vision Engineer for our Gaming team. The ideal candidate has 1-3 years of experience and is proficient in C++, CUDA, Deep Learning, Python, CNN. This is a remote internship position focused on delivering high-quality data & ai work."
