title,category,skills,level,description
Senior UX Designer,Design,Usability Testing; Accessibility; Journey Mapping; Design Thinking; Prototyping,Senior,"Full-time · Hybrid. We are hiring a Senior UX Designer for our Gaming team. The ideal candidate has 6-10 years of experience and is proficient in Usability Testing, Accessibility, Journey Mapping, Design Thinking, Prototyping. This is a hybrid full-time position focused on delivering high-quality design work."
Junior Product Designer,Design,Figma; Wireframing; Sketch; Design Systems; Usability Testing,Junior,"Internship · Hybrid. We are hiring a Junior Product Designer for our Healthcare team. The ideal candidate has 1-3 years of experience and is proficient in Figma, Wireframing, Sketch, Design Systems, Usability Testing. This is a hybrid internship position focused on delivering high-quality design work."
Mid-level UI Designer,Design,Color Theory; Adobe XD; Figma; HTML; Prototyping; Wireframing; Sketch,Mid-level,"Contract · Hybrid. We are hiring a Mid-level UI Designer for our Enterprise team. The ideal candidate has 3-6 years of experience and is proficient in Color Theory, Adobe XD, Figma, HTML, Prototyping, Wireframing, Sketch. This is a hybrid contract position focused on delivering high-quality design work."
Principal Graphic Designer,Design,Photoshop; Print Design; Typography; InDesign; Adobe XD,Principal,"Contract · Remote. We are hiring a Principal Graphic Designer for our Gaming team. The ideal candidate has 12-20 years of experience and is proficient in Photoshop, Print Design, Typography, InDesign, Adobe XD. This is a remote contract position focused on delivering high-quality design work."
Lead UX Designer,Design,Accessibility; Journey Mapping; Information Architecture; Personas; User Research; Design Thinking; Wireframing,Lead,"Contract · On-site. We are hiring a Lead UX Designer for our Fintech team. The ideal candidate has 8-14 years of experience and is proficient in Accessibility, Journey Mapping, Information Architecture, Personas, User Research, Design Thinking, Wireframing. This is a on-site contract position focused on delivering high-quality design work."
Senior Graphic Designer,Design,Print Design; InDesign; Adobe XD; Layout Design; Photoshop,Senior,"Internship · Remote. We are hiring a Senior Graphic Designer for our Fintech team. The ideal candidate has 6-10 years of experience and is proficient in Print Design, InDesign, Adobe XD, Layout Design, Photoshop. This is a remote internship position focused on delivering high-quality design work."
Senior Graphic Designer,Design,Adobe XD; InDesign; Typography; Creativity; Print Design; Illustrator,Senior,"Contract · Remote. We are hiring a Senior Graphic Designer for our E-commerce team. The ideal candidate has 6-10 years of experience and is proficient in Adobe XD, InDesign, Typography, Creativity, Print Design, Illustrator. This is a remote contract position focused on delivering high-quality design work."
Mid-level Interaction Designer,Design,Wireframing; Motion Design; Design Systems; Prototyping; Interaction Design; UX Design; Figma,Mid-level,"Full-time · On-site. We are hiring a Mid-level Interaction Designer for our E-commerce team. The ideal candidate has 3-6 years of experience and is proficient in Wireframing, Motion Design, Design Systems, Prototyping, Interaction Design, UX Design, Figma. This is a on-site full-time position focused on delivering high-quality design work."
Lead UI Designer,Design,Design Systems; HTML; Prototyping; CSS; Sketch,Lead,"Full-time · On-site. We are hiring a Lead UI Designer for our Enterprise team. The ideal candidate has 8-14 years of experience and is proficient in Design Systems, HTML, Prototyping, CSS, Sketch. This is a on-site full-time position focused on delivering high-quality design work."
Mid-level Interaction Designer,Design,Usability Testing; After Effects; Interaction Design; User Research; UX Design; Wireframing; Design Systems,Mid-level,"Full-time · On-site. We are hiring a Mid-level Interaction Designer for our Gaming team. The ideal candidate has 3-6 years of experience and is proficient in Usability Testing, After Effects, Interaction Design, User Research, UX Design, Wireframing, Design Systems. This is a on-site full-time position focused on delivering high-quality design work."
Mid-level UI Designer,Design,Figma; Typography; Wireframing; Sketch; CSS,Mid-level,"Full-time · On-site. We are hiring a Mid-level UI Designer for our Enterprise team. The ideal candidate has 3-6 years of experience and is proficient in Figma, Typography, Wireframing, Sketch, CSS. This is a on-site full-time position focused on delivering high-quality design work."
Mid-level UX Designer,Design,Accessibility; Usability Testing; User Research; Wireframing; Personas; Prototyping,Mid-level,"Full-time · Remote. We are hiring a Mid-level UX Designer for our SaaS team. The ideal candidate has 3-6 years of experience and is proficient in Accessibility, Usability Testing, User Research, Wireframing, Personas, Prototyping. This is a remote full-time position focused on delivering high-quality design work."
Mid-level UI Designer,Design,Adobe XD; HTML; Design Systems; Color Theory; Wireframing; Sketch,Mid-level,"Full-time · Hybrid. We are hiring a Mid-level UI Designer for our E-commerce team. The ideal candidate has 3-6 years of experience and is proficient in Adobe XD, HTML, Design Systems, Color Theory, Wireframing, Sketch. This is a hybrid full-time position focused on delivering high-quality design work."
Principal UX Designer,Design,Figma; Wireframing; Journey Mapping; Usability Testing; Accessibility; User Research; Personas,Principal,"Internship · Hybrid. We are hiring a Principal UX Designer for our Fintech team. The ideal candidate has 12-20 years of experience and is proficient in Figma, Wireframing, Journey Mapping, Usability Testing, Accessibility, User Research, Personas. This is a hybrid internship position focused on delivering high-quality design work."
Lead Interaction Designer,Design,After Effects; Motion Design; UX Design; Usability Testing; Figma; Design Systems,Lead,"Internship · Hybrid. We are hiring a Lead Interaction Designer for our SaaS team. The ideal candidate has 8-14 years of experience and is proficient in After Effects, Motion Design, UX Design, Usability Testing, Figma, Design Systems. This is a hybrid internship position focused on delivering high-quality design work."
Intern UI Designer,Design,Figma; Design Systems; Sketch; CSS; Typography; Adobe XD,Intern,"Full-time · Hybrid. We are hiring a Intern UI Designer for our Gaming team. The ideal candidate has 0-1 years of experience and is proficient in Figma, Design Systems, Sketch, CSS, Typography, Adobe XD. This is a hybrid full-time position focused on delivering high-quality design work."
Junior UX Designer,Design,Accessibility; User Research; Wireframing; Prototyping; Journey Mapping; Personas,Junior,"Contract · On-site. We are hiring a Junior UX Designer for our EdTech team. The ideal candidate has 1-3 years of experience and is proficient in Accessibility, User Research, Wireframing, Prototyping, Journey Mapping, Personas. This is a on-site contract position focused on delivering high-quality design work."
Mid-level Graphic Designer,Design,Photoshop; Branding; Creativity; InDesign; Adobe XD; Color Theory; Typography,Mid-level,"Contract · Hybrid. We are hiring a Mid-level Graphic Designer for our EdTech team. The ideal candidate has 3-6 years of experience and is proficient in Photoshop, Branding, Creativity, InDesign, Adobe XD, Color Theory, Typography. This is a hybrid contract position focused on delivering high-quality design work."
Principal Graphic Designer,Design,Illustrator; Creativity; Color Theory; Typography; Adobe XD; Photoshop; Branding,Principal,"Full-time · Hybrid. We are hiring a Principal Graphic Designer for our Fintech team. The ideal candidate has 12-20 years of experience and is proficient in Illustrator, Creativity, Color Theory, Typography, Adobe XD, Photoshop, Branding. This is a hybrid full-time position focused on delivering high-quality design work."
Principal UI Designer,Design,Color Theory; Design Systems; CSS; Sketch; Typography; HTML,Principal,"Internship · Remote. We are hiring a Principal UI Designer for our SaaS team. The ideal candidate has 12-20 years of experience and is proficient in Color Theory, Design Systems, CSS, Sketch, Typography, HTML. This is a remote internship position focused on delivering high-quality design work."
Mid-level Interaction Designer,Design,UX Design; Usability Testing; Prototyping; After Effects; User Research; Figma; Interaction Design,Mid-level,"Full-time · Remote. We are hiring a Mid-level Interaction Designer for our Fintech team. The ideal candidate has 3-6 years of experience and is proficient in UX Design, Usability Testing, Prototyping, After Effects, User Research, Figma, Interaction Design. This is a remote full-time position focused on delivering high-quality design work."
Intern Graphic Designer,Design,Typography; Layout Design; Color Theory; Adobe XD; InDesign; Branding,Intern,"Internship · Remote. We are hiring a Intern Graphic Designer for our EdTech team. The ideal candidate has 0-1 years of experience and is proficient in Typography, Layout Design, Color Theory, Adobe XD, InDesign, Branding. This is a remote internship position focused on delivering high-quality design work."
Lead UX Designer,Design,Prototyping; Figma; Wireframing; Design Thinking; Personas; Accessibility; User Research,Lead,"Contract · On-site. We are hiring a Lead UX Designer for our Startup team. The ideal candidate has 8-14 years of experience and is proficient in Prototyping, Figma, Wireframing, Design Thinking, Personas, Accessibility, User Research. This is a on-site contract position focused on delivering high-quality design work."
Senior Interaction Designer,Design,Prototyping; Design Systems; Wireframing; Motion Design; User Research; Usability Testing; Figma,Senior,"Full-time · On-site. We are hiring a Senior Interaction Designer for our Enterprise team. The ideal candidate has 6-10 years of experience and is proficient in Prototyping, Design Systems, Wireframing, Motion Design, User Research, Usability Testing, Figma. This is a on-site full-time position focused on delivering high-quality design work."
Senior UX Designer,Design,User Research; Journey Mapping; Prototyping; Usability Testing; Figma; Information Architecture; Wireframing,Senior,"Contract · Hybrid. We are hiring a Senior UX Designer for our SaaS team. The ideal candidate has 6-10 years of experience and is proficient in User Research, Journey Mapping, Prototyping, Usability Testing, Figma, Information Architecture, Wireframing. This is a hybrid contract position focused on delivering high-quality design work."
Mid-level Graphic Designer,Design,Creativity; Print Design; Color Theory; Layout Design; Typography; Photoshop; Illustrator,Mid-level,"Internship · On-site. We are hiring a Mid-level Graphic Designer for our E-commerce team. The ideal candidate has 3-6 years of experience and is proficient in Creativity, Print Design, Color Theory, Layout Design, Typography, Photoshop, Illustrator. This is a on-site internship position focused on delivering high-quality design work."
Mid-level Interaction Designer,Design,Wireframing; Interaction Design; Motion Design; Usability Testing; Design Systems; After Effects; User Research,Mid-level,"Contract · Hybrid. We are hiring a Mid-level Interaction Designer for our SaaS team. The ideal candidate has 3-6 years of experience and is proficient in Wireframing, Interaction Design, Motion Design, Usability Testing, Design Systems, After Effects, User Research. This is a hybrid contract position focused on delivering high-quality design work."
Junior Interaction Designer,Design,UX Design; Design Systems; Figma; Interaction Design; Wireframing,Junior,"Full-time · Hybrid. We are hiring a Junior Interaction Designer for our SaaS team. The ideal candidate has 1-3 years of experience and is proficient in UX Design, Design Systems, Figma, Interaction Design, Wireframing. This is a hybrid full-time position focused on delivering high-quality design work."
Mid-level Interaction Designer,Design,Wireframing; UX Design; Figma; After Effects; Design Systems; User Research,Mid-level,"Contract · On-site. We are hiring a Mid-level Interaction Designer for our Startup team. The ideal candidate has 3-6 years of experience and is proficient in Wireframing, UX Design, Figma, After Effects, Design Systems, User Research. This is a on-site contract position focused on delivering high-quality design work."
Junior Interaction Designer,Design,Figma; User Research; Prototyping; Design Systems; Motion Design; Usability Testing; After Effects,Junior,"Contract · On-site. We are hiring a Junior Interaction Designer for our Startup team. The ideal candidate has 1-3 years of experience and is proficient in Figma, User Research, Prototyping, Design Systems, Motion Design, Usability Testing, After Effects. This is a on-site contract position focused on delivering high-quality design work."
