title,category,skills,level,description
Principal Backend Developer,Software Engineering,Microservices; GraphQL; Python; SQL; Spring Boot,Principal,"We are seeking a Principal Backend Developer to join our SaaS team. The ideal candidate has 12-20 years of experience and is proficient in Microservices, GraphQL, Python, SQL, Spring Boot. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving software engineering initiatives."
Principal Project Manager,Product & Management,Planning; Jira; Stakeholder Management; Gantt Charts; Agile,Principal,"We are seeking a Principal Project Manager to join our Enterprise team. The ideal candidate has 12-20 years of experience and is proficient in Planning, Jira, Stakeholder Management, Gantt Charts, Agile. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving product & management initiatives."
Senior SEO Specialist,Marketing,Keyword Research; Technical SEO; Link Building; Copywriting; SEMrush; SEO,Senior,"We are seeking a Senior SEO Specialist to join our Healthcare team. The ideal candidate has 6-10 years of experience and is proficient in Keyword Research, Technical SEO, Link Building, Copywriting, SEMrush, SEO. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving marketing initiatives."
Lead Graphic Designer,Design,Layout Design; InDesign; Photoshop; Creativity; Branding; Color Theory; Illustrator,Lead,"We are seeking a Lead Graphic Designer to join our EdTech team. The ideal candidate has 8-14 years of experience and is proficient in Layout Design, InDesign, Photoshop, Creativity, Branding, Color Theory, Illustrator. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving design initiatives."
Principal AI Researcher,Data & AI,NLP; Publications; PyTorch; TensorFlow; Deep Learning; Python; Research,Principal,"We are seeking a Principal AI Researcher to join our Enterprise team. The ideal candidate has 12-20 years of experience and is proficient in NLP, Publications, PyTorch, TensorFlow, Deep Learning, Python, Research. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving data & ai initiatives."
Lead AI Researcher,Data & AI,Mathematics; Research; Python; TensorFlow; Deep Learning,Lead,"We are seeking a Lead AI Researcher to join our Gaming team. The ideal candidate has 8-14 years of experience and is proficient in Mathematics, Research, Python, TensorFlow, Deep Learning. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving data & ai initiatives."
Mid-level Product Owner,Product & Management,Scrum; Stakeholder Management; Roadmapping; Analytics; Communication,Mid-level,"We are seeking a Mid-level Product Owner to join our SaaS team. The ideal candidate has 3-6 years of experience and is proficient in Scrum, Stakeholder Management, Roadmapping, Analytics, Communication. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving product & management initiatives."
Intern Machine Learning Engineer,Data & AI,MLOps; Python; Scikit-learn; PyTorch; Machine Learning; SQL,Intern,"We are seeking a Intern Machine Learning Engineer to join our Gaming team. The ideal candidate has 0-1 years of experience and is proficient in MLOps, Python, Scikit-learn, PyTorch, Machine Learning, SQL. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving data & ai initiatives."
Lead AI Researcher,Data & AI,Machine Learning; Mathematics; Deep Learning; TensorFlow; PyTorch; Research; Reinforcement Learning,Lead,"We are seeking a Lead AI Researcher to join our E-commerce team. The ideal candidate has 8-14 years of experience and is proficient in Machine Learning, Mathematics, Deep Learning, TensorFlow, PyTorch, Research, Reinforcement Learning. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving data & ai initiatives."
Intern UI Designer,Design,HTML; Design Systems; Color Theory; Sketch; Prototyping; Wireframing; Adobe XD,Intern,"We are seeking a Intern UI Designer to join our Startup team. The ideal candidate has 0-1 years of experience and is proficient in HTML, Design Systems, Color Theory, Sketch, Prototyping, Wireframing, Adobe XD. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving design initiatives."
Senior HR Specialist,Business,Payroll; Onboarding; Communication; Recruitment; HRIS; Conflict Resolution; Training,Senior,"We are seeking a Senior HR Specialist to join our Healthcare team. The ideal candidate has 6-10 years of experience and is proficient in Payroll, Onboarding, Communication, Recruitment, HRIS, Conflict Resolution, Training. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving business initiatives."
Senior UX Designer,Design,Usability Testing; Information Architecture; Wireframing; User Research; Figma; Design Thinking; Accessibility,Senior,"We are seeking a Senior UX Designer to join our Enterprise team. The ideal candidate has 6-10 years of experience and is proficient in Usability Testing, Information Architecture, Wireframing, User Research, Figma, Design Thinking, Accessibility. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving design initiatives."
Junior Project Manager,Product & Management,Leadership; Planning; Risk Management; Jira; Budgeting; Communication,Junior,"We are seeking a Junior Project Manager to join our E-commerce team. The ideal candidate has 1-3 years of experience and is proficient in Leadership, Planning, Risk Management, Jira, Budgeting, Communication. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving product & management initiatives."
Junior Program Manager,Product & Management,Program Management; Agile; Communication; Roadmapping; Reporting; Leadership,Junior,"We are seeking a Junior Program Manager to join our EdTech team. The ideal candidate has 1-3 years of experience and is proficient in Program Management, Agile, Communication, Roadmapping, Reporting, Leadership. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving product & management initiatives."
Mid-level Scrum Master,Product & Management,Sprint Planning; Kanban; Facilitation; Scrum; Agile,Mid-level,"We are seeking a Mid-level Scrum Master to join our Fintech team. The ideal candidate has 3-6 years of experience and is proficient in Sprint Planning, Kanban, Facilitation, Scrum, Agile. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving product & management initiatives."
Lead Product Designer,Design,Sketch; Figma; Prototyping; UI Design; User Research; UX Design; Interaction Design,Lead,"We are seeking a Lead Product Designer to join our EdTech team. The ideal candidate has 8-14 years of experience and is proficient in Sketch, Figma, Prototyping, UI Design, User Research, UX Design, Interaction Design. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving design initiatives."
Principal Project Manager,Product & Management,Leadership; Agile; Risk Management; Jira; Budgeting; Communication,Principal,"We are seeking a Principal Project Manager to join our SaaS team. The ideal candidate has 12-20 years of experience and is proficient in Leadership, Agile, Risk Management, Jira, Budgeting, Communication. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving product & management initiatives."
Principal Interaction Designer,Design,Usability Testing; Prototyping; Motion Design; User Research; UX Design; Interaction Design,Principal,"We are seeking a Principal Interaction Designer to join our Healthcare team. The ideal candidate has 12-20 years of experience and is proficient in Usability Testing, Prototyping, Motion Design, User Research, UX Design, Interaction Design. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving design initiatives."
Intern Data Analyst,Data & AI,Python; Power BI; Excel; SQL; Statistics; Pandas,Intern,"We are seeking a Intern Data Analyst to join our EdTech team. The ideal candidate has 0-1 years of experience and is proficient in Python, Power BI, Excel, SQL, Statistics, Pandas. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving data & ai initiatives."
Senior UX Designer,Design,Design Thinking; Personas; Wireframing; Figma; Accessibility; Prototyping,Senior,"We are seeking a Senior UX Designer to join our Fintech team. The ideal candidate has 6-10 years of experience and is proficient in Design Thinking, Personas, Wireframing, Figma, Accessibility, Prototyping. Responsibilities include collaborating with cross-functional teams, delivering high-quality work, and driving design initiatives."
