title,category,skills,level,description
DAX,Data & AI,AI Researcher,Intermediate,DAX is an intermediate-level skill commonly required for AI Researcher roles in the Data & AI field.
System Design,Software Engineering,Backend Developer,Advanced,System Design is an advanced-level skill commonly required for Backend Developer roles in the Software Engineering field.
SQL,Software Engineering,Financial Analyst,Advanced,SQL is an advanced-level skill commonly required for Financial Analyst roles in the Software Engineering field.
Paid Ads,Marketing,Growth Marketer,Advanced,Paid Ads is an advanced-level skill commonly required for Growth Marketer roles in the Marketing field.
Funnel Optimization,Marketing,Content Strategist,Beginner,Funnel Optimization is an beginner-level skill commonly required for Content Strategist roles in the Marketing field.
NLP,Data & AI,Computer Vision Engineer,Expert,NLP is an expert-level skill commonly required for Computer Vision Engineer roles in the Data & AI field.
Interaction Design,Design,Product Designer,Beginner,Interaction Design is an beginner-level skill commonly required for Product Designer roles in the Design field.
Retrospectives,Product & Management,Product Owner,Intermediate,Retrospectives is an intermediate-level skill commonly required for Product Owner roles in the Product & Management field.
Python,Software Engineering,Game Developer,Intermediate,Python is an intermediate-level skill commonly required for Game Developer roles in the Software Engineering field.
Postman,Software Engineering,Backend Developer,Expert,Postman is an expert-level skill commonly required for Backend Developer roles in the Software Engineering field.
Jira,Software Engineering,Full Stack Developer,Intermediate,Jira is an intermediate-level skill commonly required for Full Stack Developer roles in the Software Engineering field.
Cypress,Software Engineering,QA Engineer,Beginner,Cypress is an beginner-level skill commonly required for QA Engineer roles in the Software Engineering field.
User Research,Design,Graphic Designer,Intermediate,User Research is an intermediate-level skill commonly required for Graphic Designer roles in the Design field.
HTML,Software Engineering,Site Reliability Engineer,Advanced,HTML is an advanced-level skill commonly required for Site Reliability Engineer roles in the Software Engineering field.
Agile,Product & Management,Product Manager,Expert,Agile is an expert-level skill commonly required for Product Manager roles in the Product & Management field.
GraphQL,Software Engineering,Backend Developer,Beginner,GraphQL is an beginner-level skill commonly required for Backend Developer roles in the Software Engineering field.
Sketch,Design,Graphic Designer,Advanced,Sketch is an advanced-level skill commonly required for Graphic Designer roles in the Design field.
Customer Success,Business,HR Specialist,Expert,Customer Success is an expert-level skill commonly required for HR Specialist roles in the Business field.
Stakeholder Management,Product & Management,Program Manager,Intermediate,Stakeholder Management is an intermediate-level skill commonly required for Program Manager roles in the Product & Management field.
Communication,Product & Management,Product Manager,Expert,Communication is an expert-level skill commonly required for Product Manager roles in the Product & Management field.
Analytics,Product & Management,Product Manager,Intermediate,Analytics is an intermediate-level skill commonly required for Product Manager roles in the Product & Management field.
Git,Software Engineering,Frontend Developer,Advanced,Git is an advanced-level skill commonly required for Frontend Developer roles in the Software Engineering field.
Kotlin,Software Engineering,Site Reliability Engineer,Advanced,Kotlin is an advanced-level skill commonly required for Site Reliability Engineer roles in the Software Engineering field.
Cost Optimization,Cloud & Infrastructure,Network Engineer,Expert,Cost Optimization is an expert-level skill commonly required for Network Engineer roles in the Cloud & Infrastructure field.
Growth Hacking,Marketing,Digital Marketing Specialist,Expert,Growth Hacking is an expert-level skill commonly required for Digital Marketing Specialist roles in the Marketing field.
