title,category,skills,level,description
Intern Backend Developer,Software Engineering,Node.js; Java; REST APIs; Spring Boot; GraphQL,Intern,"Internship · Remote. We are hiring a Intern Backend Developer for our E-commerce team. The ideal candidate has 0-1 years of experience and is proficient in Node.js, Java, REST APIs, Spring Boot, GraphQL. This is a remote internship position focused on delivering high-quality software engineering work."
Senior Full Stack Developer,Software Engineering,MongoDB; Git; Python; Node.js; SQL; REST APIs; Docker,Senior,"Full-time · Hybrid. We are hiring a Senior Full Stack Developer for our Gaming team. The ideal candidate has 6-10 years of experience and is proficient in MongoDB, Git, Python, Node.js, SQL, REST APIs, Docker. This is a hybrid full-time position focused on delivering high-quality software engineering work."
Senior Full Stack Developer,Software Engineering,MongoDB; TypeScript; REST APIs; SQL; Node.js,Senior,"Contract · Hybrid. We are hiring a Senior Full Stack Developer for our Gaming team. The ideal candidate has 6-10 years of experience and is proficient in MongoDB, TypeScript, REST APIs, SQL, Node.js. This is a hybrid contract position focused on delivering high-quality software engineering work."
Principal Software Architect,Software Engineering,Design Patterns; Kafka; Java; Microservices; REST APIs,Principal,"Full-time · Hybrid. We are hiring a Principal Software Architect for our E-commerce team. The ideal candidate has 12-20 years of experience and is proficient in Design Patterns, Kafka, Java, Microservices, REST APIs. This is a hybrid full-time position focused on delivering high-quality software engineering work."
Junior Frontend Developer,Software Engineering,Sass; Webpack; Accessibility; HTML; CSS,Junior,"Full-time · Remote. We are hiring a Junior Frontend Developer for our Healthcare team. The ideal candidate has 1-3 years of experience and is proficient in Sass, Webpack, Accessibility, HTML, CSS. This is a remote full-time position focused on delivering high-quality software engineering work."
Junior Game Developer,Software Engineering,C++; C#; Optimization; Game Design; Physics; Shaders,Junior,"Internship · Remote. We are hiring a Junior Game Developer for our Fintech team. The ideal candidate has 1-3 years of experience and is proficient in C++, C#, Optimization, Game Design, Physics, Shaders. This is a remote internship position focused on delivering high-quality software engineering work."
Junior Site Reliability Engineer,Software Engineering,Monitoring; Go; Terraform; Kubernetes; Prometheus; Python,Junior,"Internship · On-site. We are hiring a Junior Site Reliability Engineer for our Enterprise team. The ideal candidate has 1-3 years of experience and is proficient in Monitoring, Go, Terraform, Kubernetes, Prometheus, Python. This is a on-site internship position focused on delivering high-quality software engineering work."
Intern Frontend Developer,Software Engineering,Accessibility; React; CSS; Sass; Jest,Intern,"Internship · Hybrid. We are hiring a Intern Frontend Developer for our Enterprise team. The ideal candidate has 0-1 years of experience and is proficient in Accessibility, React, CSS, Sass, Jest. This is a hybrid internship position focused on delivering high-quality software engineering work."
Intern Frontend Developer,Software Engineering,Redux; Webpack; TypeScript; Jest; HTML; React,Intern,"Internship · Remote. We are hiring a Intern Frontend Developer for our Gaming team. The ideal candidate has 0-1 years of experience and is proficient in Redux, Webpack, TypeScript, Jest, HTML, React. This is a remote internship position focused on delivering high-quality software engineering work."
Principal Game Developer,Software Engineering,3D Math; Optimization; Unity; Shaders; C#,Principal,"Contract · On-site. We are hiring a Principal Game Developer for our Enterprise team. The ideal candidate has 12-20 years of experience and is proficient in 3D Math, Optimization, Unity, Shaders, C#. This is a on-site contract position focused on delivering high-quality software engineering work."
