title,category,skills,level,description
Junior Security Engineer,Cloud & Infrastructure,Linux; Firewalls; Cybersecurity; Incident Response; OWASP; Network Security; Encryption,Junior,"Full-time · Remote. We are hiring a Junior Security Engineer for our E-commerce team. The ideal candidate has 1-3 years of experience and is proficient in Linux, Firewalls, Cybersecurity, Incident Response, OWASP, Network Security, Encryption. This is a remote full-time position focused on delivering high-quality cloud & infrastructure work."
Lead Database Administrator,Cloud & Infrastructure,Replication; Performance Tuning; SQL; PostgreSQL; Security,Lead,"Contract · On-site. We are hiring a Lead Database Administrator for our Gaming team. The ideal candidate has 8-14 years of experience and is proficient in Replication, Performance Tuning, SQL, PostgreSQL, Security. This is a on-site contract position focused on delivering high-quality cloud & infrastructure work."
Mid-level Network Engineer,Cloud & Infrastructure,DNS; Security; Networking; Cisco; Switching,Mid-level,"Contract · On-site. We are hiring a Mid-level Network Engineer for our E-commerce team. The ideal candidate has 3-6 years of experience and is proficient in DNS, Security, Networking, Cisco, Switching. This is a on-site contract position focused on delivering high-quality cloud & infrastructure work."
Mid-level Security Engineer,Cloud & Infrastructure,Cybersecurity; Python; Network Security; OWASP; Incident Response; Firewalls,Mid-level,"Contract · Remote. We are hiring a Mid-level Security Engineer for our Startup team. The ideal candidate has 3-6 years of experience and is proficient in Cybersecurity, Python, Network Security, OWASP, Incident Response, Firewalls. This is a remote contract position focused on delivering high-quality cloud & infrastructure work."
Intern Cloud Architect,Cloud & Infrastructure,Networking; GCP; AWS; Kubernetes; Terraform; Azure; Microservices,Intern,"Internship · Hybrid. We are hiring a Intern Cloud Architect for our Fintech team. The ideal candidate has 0-1 years of experience and is proficient in Networking, GCP, AWS, Kubernetes, Terraform, Azure, Microservices. This is a hybrid internship position focused on delivering high-quality cloud & infrastructure work."
Intern Network Engineer,Cloud & Infrastructure,Switching; DNS; Cisco; VPN; Firewalls; Linux,Intern,"Contract · Remote. We are hiring a Intern Network Engineer for our Startup team. The ideal candidate has 0-1 years of experience and is proficient in Switching, DNS, Cisco, VPN, Firewalls, Linux. This is a remote contract position focused on delivering high-quality cloud & infrastructure work."
Intern Cloud Engineer,Cloud & Infrastructure,Monitoring; CloudFormation; CI/CD; AWS; Networking,Intern,"Contract · Hybrid. We are hiring a Intern Cloud Engineer for our EdTech team. The ideal candidate has 0-1 years of experience and is proficient in Monitoring, CloudFormation, CI/CD, AWS, Networking. This is a hybrid contract position focused on delivering high-quality cloud & infrastructure work."
Principal Database Administrator,Cloud & Infrastructure,Backup & Recovery; MySQL; Performance Tuning; SQL; Linux; MongoDB; Security,Principal,"Full-time · Remote. We are hiring a Principal Database Administrator for our EdTech team. The ideal candidate has 12-20 years of experience and is proficient in Backup & Recovery, MySQL, Performance Tuning, SQL, Linux, MongoDB, Security. This is a remote full-time position focused on delivering high-quality cloud & infrastructure work."
Principal Network Engineer,Cloud & Infrastructure,VPN; Routing; TCP/IP; Security; Firewalls,Principal,"Contract · Remote. We are hiring a Principal Network Engineer for our SaaS team. The ideal candidate has 12-20 years of experience and is proficient in VPN, Routing, TCP/IP, Security, Firewalls. This is a remote contract position focused on delivering high-quality cloud & infrastructure work."
Junior Network Engineer,Cloud & Infrastructure,Linux; TCP/IP; VPN; Security; DNS,Junior,"Internship · Remote. We are hiring a Junior Network Engineer for our Startup team. The ideal candidate has 1-3 years of experience and is proficient in Linux, TCP/IP, VPN, Security, DNS. This is a remote internship position focused on delivering high-quality cloud & infrastructure work."
