title,category,skills,level,description
Intern Social Media Manager,Marketing,Engagement; Scheduling Tools; Analytics; Branding; Social Media,Intern,"Full-time · On-site. We are hiring a Intern Social Media Manager for our Gaming team. The ideal candidate has 0-1 years of experience and is proficient in Engagement, Scheduling Tools, Analytics, Branding, Social Media. This is a on-site full-time position focused on delivering high-quality marketing work."
Junior Content Strategist,Marketing,Copywriting; Editorial Planning; Analytics; Content Marketing; Social Media,Junior,"Internship · Hybrid. We are hiring a Junior Content Strategist for our SaaS team. The ideal candidate has 1-3 years of experience and is proficient in Copywriting, Editorial Planning, Analytics, Content Marketing, Social Media. This is a hybrid internship position focused on delivering high-quality marketing work."
Senior Digital Marketing Specialist,Marketing,SEO; Email Marketing; CRM; Copywriting; Campaign Management,Senior,"Internship · Hybrid. We are hiring a Senior Digital Marketing Specialist for our SaaS team. The ideal candidate has 6-10 years of experience and is proficient in SEO, Email Marketing, CRM, Copywriting, Campaign Management. This is a hybrid internship position focused on delivering high-quality marketing work."
Junior Growth Marketer,Marketing,SQL; SEO; Funnel Optimization; Paid Ads; Analytics,Junior,"Contract · On-site. We are hiring a Junior Growth Marketer for our Startup team. The ideal candidate has 1-3 years of experience and is proficient in SQL, SEO, Funnel Optimization, Paid Ads, Analytics. This is a on-site contract position focused on delivering high-quality marketing work."
Intern Growth Marketer,Marketing,Experimentation; SEO; Paid Ads; Email Marketing; CRM; Analytics; SQL,Intern,"Contract · On-site. We are hiring a Intern Growth Marketer for our SaaS team. The ideal candidate has 0-1 years of experience and is proficient in Experimentation, SEO, Paid Ads, Email Marketing, CRM, Analytics, SQL. This is a on-site contract position focused on delivering high-quality marketing work."
Lead Digital Marketing Specialist,Marketing,CRM; Email Marketing; Content Marketing; Google Ads; SEO,Lead,"Full-time · Remote. We are hiring a Lead Digital Marketing Specialist for our Startup team. The ideal candidate has 8-14 years of experience and is proficient in CRM, Email Marketing, Content Marketing, Google Ads, SEO. This is a remote full-time position focused on delivering high-quality marketing work."
Mid-level Growth Marketer,Marketing,SEO; Experimentation; Email Marketing; Paid Ads; A/B Testing,Mid-level,"Full-time · On-site. We are hiring a Mid-level Growth Marketer for our SaaS team. The ideal candidate has 3-6 years of experience and is proficient in SEO, Experimentation, Email Marketing, Paid Ads, A/B Testing. This is a on-site full-time position focused on delivering high-quality marketing work."
Lead SEO Specialist,Marketing,Link Building; Copywriting; SEO; Content Strategy; Keyword Research,Lead,"Internship · Hybrid. We are hiring a Lead SEO Specialist for our SaaS team. The ideal candidate has 8-14 years of experience and is proficient in Link Building, Copywriting, SEO, Content Strategy, Keyword Research. This is a hybrid internship position focused on delivering high-quality marketing work."
Intern SEO Specialist,Marketing,On-page SEO; Technical SEO; Keyword Research; Copywriting; Content Strategy; Google Analytics; HTML,Intern,"Contract · Remote. We are hiring a Intern SEO Specialist for our Healthcare team. The ideal candidate has 0-1 years of experience and is proficient in On-page SEO, Technical SEO, Keyword Research, Copywriting, Content Strategy, Google Analytics, HTML. This is a remote contract position focused on delivering high-quality marketing work."
Mid-level Content Strategist,Marketing,Brand Voice; Analytics; Content Marketing; CMS; Copywriting; SEO; Editorial Planning,Mid-level,"Contract · Hybrid. We are hiring a Mid-level Content Strategist for our E-commerce team. The ideal candidate has 3-6 years of experience and is proficient in Brand Voice, Analytics, Content Marketing, CMS, Copywriting, SEO, Editorial Planning. This is a hybrid contract position focused on delivering high-quality marketing work."
